Date,Year,Month,Product,Customer,Units_Sold,Revenue,Profit,Month_Name
2023-01-01,2023,1,Watch,Customer_E,5,1875.2973280611282,294.54399162795283,January
2023-01-02,2023,1,Headphones,Customer_D,29,1858.580174522875,193.22592283483382,January
2023-01-03,2023,1,Tablet,Customer_C,4,956.594805667851,85.34303850860634,January
2023-01-04,2023,1,Headphones,Customer_D,10,315.15228709743496,193.86165389888728,January
2023-01-05,2023,1,Headphones,Customer_E,17,1971.1982780284357,166.59576011759808,January
2023-01-06,2023,1,Phone,Customer_B,10,1693.9063642472747,236.15516459383164,January
2023-01-07,2023,1,Tablet,Customer_D,17,336.859094286207,41.02438525981793,January
2023-01-08,2023,1,Tablet,Customer_B,20,1849.5995769730075,230.6980917255881,January
2023-01-09,2023,1,Tablet,Customer_C,24,1752.8030879180437,166.96730781607198,January
2023-01-10,2023,1,Headphones,Customer_A,5,1085.7923085395369,289.26768111910843,January
2023-01-11,2023,1,Watch,Customer_C,34,1223.4233279153655,109.14292815121897,January
2023-01-12,2023,1,Tablet,Customer_D,6,858.1051373532475,193.46034900884496,January
2023-01-13,2023,1,Headphones,Customer_B,2,204.04711376185952,280.2881505979051,January
2023-01-14,2023,1,Phone,Customer_B,13,736.8747591272117,39.72782111729698,January
2023-01-15,2023,1,Watch,Customer_E,43,1625.4215523362218,281.7962612985708,January
2023-01-16,2023,1,Phone,Customer_B,43,108.80084370874543,209.48685946723586,January
2023-01-17,2023,1,Watch,Customer_E,48,733.6484262131739,29.67274714049985,January
2023-01-18,2023,1,Headphones,Customer_A,11,856.5205178227923,97.27943441457671,January
2023-01-19,2023,1,Laptop,Customer_D,47,1121.0516455820534,215.36990570713166,January
2023-01-20,2023,1,Watch,Customer_E,23,1847.725671184245,29.53167442594379,January
2023-01-21,2023,1,Phone,Customer_A,16,758.0573892953264,178.82943345111926,January
2023-01-22,2023,1,Headphones,Customer_B,31,759.2110836028326,110.30608651635745,January
2023-01-23,2023,1,Watch,Customer_B,11,1501.2523714085219,190.06550015256838,January
2023-01-24,2023,1,Laptop,Customer_A,16,959.2140876906336,23.265189805628726,January
2023-01-25,2023,1,Laptop,Customer_B,8,526.7491635859658,262.7456737841891,January
2023-01-26,2023,1,Tablet,Customer_A,4,959.6350806521175,292.3118010614451,January
2023-01-27,2023,1,Tablet,Customer_E,40,367.62833872161974,290.9745780328505,January
2023-01-28,2023,1,Phone,Customer_E,4,435.13527436182426,227.39903120544815,January
2023-01-29,2023,1,Watch,Customer_A,25,1046.8987682050115,47.72500963788327,January
2023-01-30,2023,1,Watch,Customer_E,3,895.958354058641,229.89632681941654,January
2023-01-31,2023,1,Tablet,Customer_E,32,1838.2072120293901,17.130205773052438,January
2023-02-01,2023,2,Watch,Customer_E,3,788.5484083216029,16.415829943409204,February
2023-02-02,2023,2,Watch,Customer_C,27,1203.1178655282827,103.84696355336696,February
2023-02-03,2023,2,Laptop,Customer_D,29,1301.3021470471076,151.70652521735306,February
2023-02-04,2023,2,Tablet,Customer_B,32,124.87946751783392,233.41815116426002,February
2023-02-05,2023,2,Headphones,Customer_C,50,1360.7210068317502,208.15565921588652,February
2023-02-06,2023,2,Tablet,Customer_E,19,438.2683370525277,139.311784849257,February
2023-02-07,2023,2,Headphones,Customer_A,21,1926.0336031919649,89.3517332216831,February
2023-02-08,2023,2,Laptop,Customer_E,5,382.4591827309146,299.16610504573623,February
2023-02-09,2023,2,Phone,Customer_D,18,887.7858350813451,133.59257764843215,February
2023-02-10,2023,2,Watch,Customer_E,28,262.16436934942334,140.9022370556059,February
2023-02-11,2023,2,Laptop,Customer_A,42,1994.0610785073,57.450908145584066,February
2023-02-12,2023,2,Watch,Customer_D,22,1054.170519629361,240.49476913747952,February
2023-02-13,2023,2,Phone,Customer_E,21,1231.2315329080832,211.1678454766317,February
2023-02-14,2023,2,Phone,Customer_D,6,227.44530703801223,74.02318770874051,February
2023-02-15,2023,2,Laptop,Customer_B,1,1524.9248937584377,33.89050322859438,February
2023-02-16,2023,2,Phone,Customer_B,5,498.82062688161295,207.3447976016668,February
2023-02-17,2023,2,Headphones,Customer_E,41,1806.303149937356,199.8082521415292,February
2023-02-18,2023,2,Phone,Customer_D,12,489.7653169158136,89.24526282948071,February
2023-02-19,2023,2,Watch,Customer_A,26,462.3066692609665,285.75043305261903,February
2023-02-20,2023,2,Watch,Customer_E,46,169.44436891138025,53.80678861646107,February
2023-02-21,2023,2,Watch,Customer_B,34,996.9271957089986,135.37709230235455,February
2023-02-22,2023,2,Watch,Customer_B,49,1173.198153198971,283.6486168486037,February
2023-02-23,2023,2,Headphones,Customer_E,14,224.8464149138695,131.72092190857546,February
2023-02-24,2023,2,Tablet,Customer_D,26,1573.5024717205201,195.17252482258482,February
2023-02-25,2023,2,Laptop,Customer_B,45,961.2487860212525,125.30237540921034,February
2023-02-26,2023,2,Watch,Customer_D,27,1096.3415117224022,89.52240868111431,February
2023-02-27,2023,2,Phone,Customer_B,9,937.4492191826334,295.35351790835017,February
2023-02-28,2023,2,Watch,Customer_B,26,861.4498156631194,128.70686183136246,February
2023-03-01,2023,3,Phone,Customer_C,47,1163.316629485614,269.288769066949,March
2023-03-02,2023,3,Phone,Customer_B,22,394.9564672683538,76.68683570841499,March
2023-03-03,2023,3,Watch,Customer_A,47,445.66344794101514,71.80036416727415,March
2023-03-04,2023,3,Headphones,Customer_E,30,1737.3926799256828,19.028884036508295,March
2023-03-05,2023,3,Phone,Customer_E,43,1897.6193780539022,198.98337935900668,March
2023-03-06,2023,3,Phone,Customer_D,48,809.2877009315306,116.87263967989072,March
2023-03-07,2023,3,Watch,Customer_B,17,614.4148789727521,260.6638924534948,March
2023-03-08,2023,3,Phone,Customer_A,26,1323.5991321541298,147.23087294055156,March
2023-03-09,2023,3,Phone,Customer_D,36,876.5949250863831,290.7760940952693,March
2023-03-10,2023,3,Watch,Customer_C,1,148.23407575465524,63.80239955390513,March
2023-03-11,2023,3,Watch,Customer_D,8,396.6899349957617,261.9007187071271,March
2023-03-12,2023,3,Laptop,Customer_D,49,1460.3472348100554,235.2130873096051,March
2023-03-13,2023,3,Headphones,Customer_B,35,1351.9554896292875,233.56733494677508,March
2023-03-14,2023,3,Headphones,Customer_C,15,151.48238575661864,254.9871361538974,March
2023-03-15,2023,3,Phone,Customer_D,47,521.747107672604,230.69695737346967,March
2023-03-16,2023,3,Headphones,Customer_A,22,539.0421135173357,191.60389327311046,March
2023-03-17,2023,3,Phone,Customer_A,14,1376.596212837584,48.0610145278924,March
2023-03-18,2023,3,Laptop,Customer_E,26,137.4500217332919,19.432592052463058,March
2023-03-19,2023,3,Watch,Customer_C,28,297.8063057706903,277.0458758665492,March
2023-03-20,2023,3,Watch,Customer_C,23,1619.8405622090597,188.82859121101404,March
2023-03-21,2023,3,Watch,Customer_E,14,439.2348579032339,240.99581438309113,March
2023-03-22,2023,3,Headphones,Customer_D,24,1340.2176049185618,149.64148193863952,March
2023-03-23,2023,3,Laptop,Customer_C,2,552.5472839887805,44.0193747990944,March
2023-03-24,2023,3,Headphones,Customer_A,45,288.9386462427558,46.303879738739624,March
2023-03-25,2023,3,Headphones,Customer_A,26,562.0271628989628,208.8139332964017,March
2023-03-26,2023,3,Laptop,Customer_B,14,1472.3071705257523,134.78870952084418,March
2023-03-27,2023,3,Laptop,Customer_C,7,1725.823289401943,68.15217074309766,March
2023-03-28,2023,3,Laptop,Customer_D,3,1677.417742677284,152.5624185550167,March
2023-03-29,2023,3,Laptop,Customer_E,47,854.6487062750641,28.620591751788886,March
2023-03-30,2023,3,Watch,Customer_E,23,1369.3617594842276,178.77170655517565,March
2023-03-31,2023,3,Tablet,Customer_D,46,489.4701612900598,88.00808728617832,March
2023-04-01,2023,4,Tablet,Customer_B,43,656.9806874959252,241.29213918478456,April
2023-04-02,2023,4,Laptop,Customer_E,47,1803.0380551901276,100.00496808783639,April
2023-04-03,2023,4,Tablet,Customer_C,45,124.70365467039846,142.01384323372235,April
2023-04-04,2023,4,Tablet,Customer_B,18,262.46620862348936,13.369956573349185,April
2023-04-05,2023,4,Laptop,Customer_C,38,494.9838847774519,31.009597460422075,April
2023-04-06,2023,4,Tablet,Customer_A,35,150.41118736025746,123.82313135793859,April
2023-04-07,2023,4,Headphones,Customer_B,15,444.7273266706149,149.1822620679658,April
2023-04-08,2023,4,Phone,Customer_E,25,1207.7789658424151,184.00595895459807,April
